Gene_Symbol,Mean_T1D,Mean_Control,Log2FC,P_Value,FDR
NIP7,7.542914537961395,7.943633811476723,-0.4007192735153282,0.0006655800968519682,0.06663196302929147
SLMO2,7.814466336098583,8.223543096600793,-0.4090767605022094,0.0006963575951073951,0.06920053601379739
C1orf123,9.96399041952801,9.67355066300127,0.29043975652673915,0.0007142973021964174,0.06995761152991203
BMPR1B,4.422701818941732,3.8273845395409682,0.595317279400764,0.0007143285528026534,0.06995761152991203
RAP1B,12.929803817959085,13.13357377549842,-0.20376995753933436,0.0007316988937389125,0.07114324135885901
CCDC85C,6.779594736200878,7.2652380006481385,-0.48564326444726014,0.0007433944770651586,0.07125515147188383
SEMA6C,4.611664940193597,4.196657858401745,0.41500708179185164,0.0007387328396884766,0.07125515147188383
C11orf48 /// LOC102288414,9.651564662664244,9.321112172892702,0.33045248977154174,0.0007686903775111671,0.07316091867650298
HSPA9,9.239545044631003,9.504939586184227,-0.2653945415532242,0.0007817076114195493,0.0735670912406469
LMTK2,5.3668602157663585,6.054767324211954,-0.6879071084455957,0.0007838447013431857,0.0735670912406469
PAGR1,8.811510695427513,8.449339659506087,0.36217103592142585,0.0008189827568050375,0.0742769856063691
KLRF1,9.8701557370383,10.654553469358651,-0.7843977323203521,0.0008243838580063163,0.0742769856063691
ARL6IP1,10.653257773319963,11.00165938370994,-0.34840161038997763,0.0008016340113020758,0.0742769856063691
CCNG2,9.450030288216297,9.235284807145876,0.21474548107042146,0.0008180907708895461,0.0742769856063691
HMBS,8.726996711739298,8.45634408765739,0.27065262408190804,0.00081709537497638,0.0742769856063691
ZNF419,8.311135721957692,7.820546042614045,0.49058967934364706,0.0008030395850295585,0.0742769856063691
FAM46C,8.409198067467646,9.01987143644758,-0.6106733689799348,0.0008380801375030272,0.07501094740631399
NNAT,5.899885572161131,5.0999583122936345,0.7999272598674967,0.0009486767265281344,0.08315876686299127
KRT23,6.7573067897838985,5.544847594299379,1.2124591954845192,0.0009551741101281122,0.08315876686299127
PCGF2,6.822683402225565,6.52359303640744,0.29909036581812565,0.0009362121698073034,0.08315876686299127
UBE2E3,9.834688267746548,10.068014043231083,-0.23332577548453415,0.0009467049430911758,0.08315876686299127
RBM23,10.230431245601176,9.994267728843926,0.23616351675724978,0.0009598792179523965,0.08315876686299127
UQCRC2,11.343325791295808,11.491822879007414,-0.14849708771160586,0.0009766584399428177,0.08407349564221134
MAML1,9.986851529857676,9.779519384405964,0.20733214545171208,0.0010042263392354457,0.0845243326256071
CASP9,8.59102015433985,8.439487861117177,0.15153229322267237,0.0010180854206684352,0.0845243326256071
RNF11,10.042277309792604,10.421402447993641,-0.37912513820103655,0.0010158062113118785,0.0845243326256071
EIF1AX,9.280535204097115,9.550234785281212,-0.2696995811840974,0.0010202548349062777,0.0845243326256071
CYP4F12,5.840878621067759,5.020152741125159,0.8207258799426,0.000990041519256474,0.0845243326256071
ZNF211,8.868305959061347,8.637883106219583,0.23042285284176423,0.001025674476551947,0.0845243326256071
ZMYM5,6.9434516140065075,7.181222851236356,-0.2377712372298486,0.0010081522902057613,0.0845243326256071
HTRA2,8.833799894686686,8.588411483280597,0.2453884114060898,0.001044301231434237,0.08502247676405851
MIR7109 /// PISD,8.905044165203806,8.588695476913186,0.31634868829062057,0.0010436646076440136,0.08502247676405851
PRKAA1,7.597520070882207,7.894377162207313,-0.29685709132510585,0.0010676557694659712,0.08558668992587803
FAM102A,10.621834497983349,10.28898362379645,0.3328508741868994,0.0010864350503888586,0.08558668992587803
VDAC2,11.741663678884935,11.895118526596042,-0.15345484771110662,0.001078048622719725,0.08558668992587803
PTRH2,8.782782937083626,8.44505208977989,0.33773084730373526,0.0010754002808299344,0.08558668992587803
TMEM183A /// TMEM183B,9.033361116400892,9.208565251113699,-0.17520413471280705,0.001066628613645035,0.08558668992587803
RP3-336K20__B.2,6.111116564003555,5.211286324803338,0.8998302392002167,0.0010892275743433978,0.08558668992587803
WDR73,9.368449742186026,9.178281042921041,0.19016869926498536,0.0011214874221902999,0.08578053625188527
HIPK1,9.953862951559598,10.16262208862963,-0.20875913707003235,0.0011202551940252016,0.08578053625188527
AOAH,10.474100950588685,10.760773035197467,-0.2866720846087816,0.0011742063785866647,0.08578053625188527
TNFAIP3,10.854431228937155,11.531245411794174,-0.6768141828570187,0.0011062510644423785,0.08578053625188527
HMGB1,13.176350915082145,13.420654944435226,-0.24430402935308138,0.001168614818447198,0.08578053625188527
OPHN1,10.505360979947582,10.06636779093519,0.4389931890123915,0.0011502026436911645,0.08578053625188527
TESPA1,8.933335247766998,8.59492016503385,0.3384150827331478,0.001118416358944277,0.08578053625188527
CCR3,7.9950733449206055,7.372472317434096,0.6226010274865095,0.0011337666960381974,0.08578053625188527
IQCB1,9.003312341215564,8.802856710967456,0.20045563024810775,0.001136517860676417,0.08578053625188527
KRTAP1-1,6.180776923526656,5.524292126740568,0.6564847967860876,0.0011325043403771053,0.08578053625188527
RGCC,10.699658608762421,10.222787829795186,0.4768707789672355,0.001167056214846672,0.08578053625188527
MAGOH2,6.006076629335552,5.412623421340235,0.5934532079953172,0.001168137851721252,0.08578053625188527
IGLC1,9.826143291624735,9.355192307569794,0.47095098405494085,0.0011685928645694809,0.08578053625188527
CNOT7,11.286980227803756,11.474601724079358,-0.18762149627560198,0.0011870048705334788,0.08601084884426949
